k,bytes,time
8,65536,7.6749
8,65536,6.2249
8,65536,7.5416
8,65536,8.3832
8,65536,6.4958
8,65536,7.6749
8,65536,6.2958
8,65536,6.0125
8,65536,8.0999
8,65536,6.1166
8,65536,8.4041
8,65536,8.1166
8,65536,6.6416
8,65536,7.0666
8,65536,7.3999
8,65536,6.2333
8,65536,8.4332
1,131072,13.379
1,131072,13.3373
1,131072,14.5707
1,131072,12.8499
1,131072,13.9998
1,131072,13.4123
1,131072,12.2499
1,131072,11.6165
1,131072,12.1707
1,131072,12.2665
1,131072,11.9374
1,131072,16.1457
1,131072,12.9457
1,131072,16.1498
1,131072,11.8374
1,131072,11.929
1,131072,14.5207
1,131072,14.929
1,131072,11.8165
1,131072,12.1415
1,131072,13.579
1,131072,13.8832
1,131072,16.6124
1,131072,15.1706
1,131072,12.2249
1,131072,12.2707
1,131072,12.6665
1,131072,14.2207
1,131072,15.8498
1,131072,16.7041
1,131072,11.9207
1,131072,12.1249
1,131072,13.4998
1,131072,16.179
1,131072,12.7582
1,131072,11.9749
1,131072,12.0707
1,131072,14.8248
1,131072,13.754
1,131072,14.879
1,131072,13.3165
1,131072,11.8124
1,131072,14.4915
1,131072,14.1415
1,131072,13.8957
1,131072,14.3915
1,131072,15.479
1,131072,14.329
1,131072,12.7082
1,131072,11.9124
8,131072,15.2831
8,131072,13.579
8,131072,11.4749
8,131072,11.7499
8,131072,10.4874
8,131072,10.9499
8,131072,10.7541
8,131072,9.9291
8,131072,12.8624
8,131072,11.3207
8,131072,10.5457
8,131072,10.2166
8,131072,12.5915
8,131072,9.9916
8,131072,9.8624
8,131072,13.7915
8,131072,9.1207
8,131072,12.6582
8,131072,11.4415
8,131072,9.8666
8,131072,10.8249
8,131072,8.7416
8,131072,13.5373
8,131072,12.2207
8,131072,10.3666
8,131072,11.0582
8,131072,10.7207
8,131072,13.7082
8,131072,12.4207
8,131072,12.0415
8,131072,11.8707
8,131072,12.5249
8,131072,10.3832
8,131072,10.4957
8,131072,12.2665
8,131072,11.7124
8,131072,13.6832
8,131072,12.0957
8,131072,12.5665
8,131072,11.8457
8,131072,10.8374
8,131072,10.5416
8,131072,9.4707
8,131072,11.204
8,131072,14.0082
8,131072,11.1207
8,131072,10.8832
8,131072,9.8249
8,131072,11.0582
8,131072,10.8749
